Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
GEORGIA,2011,FEMALE,0,0,0,936,936,287.0
GERALDINE,2011,FEMALE,0,0,468,0,468,474.0
GIA,2011,FEMALE,0,0,1512,1872,3384,160.0
GIANNA,2011,FEMALE,1404,0,5292,7344,14040,45.0
GIOVANNA,2011,FEMALE,0,0,0,360,360,587.0
GISELLE,2011,FEMALE,0,0,1368,0,1368,253.0
GITTEL,2011,FEMALE,0,0,0,828,828,315.0
GITTY,2011,FEMALE,0,0,0,2952,2952,170.0
GIULIANA,2011,FEMALE,0,0,0,1476,1476,247.0
GOLDA,2011,FEMALE,0,0,0,504,504,442.0
GOLDY,2011,FEMALE,0,0,0,1188,1188,262.0
GRACE,2011,FEMALE,4752,2160,5184,13392,25488,24.0
GRETA,2011,FEMALE,0,0,0,432,432,508.0
GUADALUPE,2011,FEMALE,0,0,936,0,936,287.0
HADASSA,2011,FEMALE,0,0,0,396,396,546.0
HADASSAH,2011,FEMALE,0,0,0,540,540,417.0
HAILEY,2011,FEMALE,2304,4464,18144,4896,29808,18.0
HALEY,2011,FEMALE,0,0,504,0,504,442.0
HANNA,2011,FEMALE,0,0,0,396,396,546.0
HANNAH,2011,FEMALE,3174,2760,2346,9798,18078,36.0
HARMONY,2011,FEMALE,0,720,0,0,720,344.0
HARPER,2011,FEMALE,0,0,0,1080,1080,273.0
HAWA,2011,FEMALE,0,540,0,0,540,417.0
HAYLEE,2011,FEMALE,0,0,612,0,612,379.0
HAYLEY,2011,FEMALE,0,0,468,0,468,474.0
HAZEL,2011,FEMALE,0,0,720,1296,2016,213.0
HEAVEN,2011,FEMALE,0,2304,1080,0,3384,160.0
HEIDI,2011,FEMALE,0,0,540,0,540,417.0
HEIDY,2011,FEMALE,0,0,576,0,576,394.0
HELEN,2011,FEMALE,720,0,936,0,1656,237.0
HENNY,2011,FEMALE,0,0,0,648,648,371.0
HINDY,2011,FEMALE,0,0,0,1332,1332,257.0
IDY,2011,FEMALE,0,0,0,360,360,587.0
ILANA,2011,FEMALE,0,0,0,360,360,587.0
IMANI,2011,FEMALE,0,2016,792,0,2808,175.0
INGRID,2011,FEMALE,0,0,396,0,396,546.0
IRENE,2011,FEMALE,1440,0,792,0,2232,200.0
IRIS,2011,FEMALE,2652,0,1020,1105,4777,120.0
ISABEL,2011,FEMALE,1296,0,3024,3672,7992,79.0
ISABELA,2011,FEMALE,0,0,360,0,360,587.0
ISABELLA,2011,FEMALE,9648,5040,47664,23040,85392,1.0
ISABELLE,2011,FEMALE,1188,0,1944,2700,5832,98.0
ISIS,2011,FEMALE,0,0,468,0,468,474.0
ISLA,2011,FEMALE,0,0,0,504,504,442.0
ITZEL,2011,FEMALE,0,0,972,0,972,283.0
IVY,2011,FEMALE,2520,0,0,1080,3600,151.0
IZABELLA,2011,FEMALE,0,0,1656,720,2376,191.0
JACQUELINE,2011,FEMALE,0,0,2160,1440,3600,151.0
JADA,2011,FEMALE,0,3744,1512,0,5256,110.0
JADE,2011,FEMALE,0,1296,3600,0,4896,118.0
JAELYNN,2011,FEMALE,0,0,396,0,396,546.0
JALIYAH,2011,FEMALE,0,360,0,0,360,587.0
JAMIE,2011,FEMALE,0,0,396,0,396,546.0
JANE,2011,FEMALE,0,0,0,972,972,283.0
JANELLE,2011,FEMALE,0,792,864,0,1656,237.0
JANICE,2011,FEMALE,504,0,0,0,504,442.0
JANIYA,2011,FEMALE,0,468,0,0,468,474.0
JANIYAH,2011,FEMALE,0,432,0,0,432,508.0
JANNAT,2011,FEMALE,468,0,0,0,468,474.0
JASLENE,2011,FEMALE,0,0,396,0,396,546.0
JASMIN,2011,FEMALE,0,0,720,0,720,344.0
JASMINE,2011,FEMALE,4464,4608,5904,2016,16992,39.0
JAYDA,2011,FEMALE,0,1152,720,0,1872,224.0
JAYLA,2011,FEMALE,0,2736,2376,0,5112,112.0
JAYLAH,2011,FEMALE,0,0,432,0,432,508.0
JAYLEEN,2011,FEMALE,0,0,1836,0,1836,227.0
JAYLENE,2011,FEMALE,0,0,792,0,792,323.0
JAYLIN,2011,FEMALE,0,0,468,0,468,474.0
JAYLYN,2011,FEMALE,0,0,360,0,360,587.0
JAZLYN,2011,FEMALE,0,0,576,0,576,394.0
JAZMIN,2011,FEMALE,0,0,864,0,864,309.0
JAZMINE,2011,FEMALE,0,0,504,0,504,442.0
JENNA,2011,FEMALE,0,0,0,792,792,323.0
JENNIFER,2011,FEMALE,1296,0,4248,0,5544,104.0
JENNY,2011,FEMALE,972,0,0,0,972,283.0
